track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,combined
late night talking,harry styles,1,2022,5,20,7461,8,743693613,166,42,199,16,58,115,A#,Major,71,90,73,30,0,11,5,late night talking harry styles
leï¿½,marï¿½ï¿½lia mendo,1,2022,12,9,993,4,267789608,30,84,88,1,28,130,F#,Major,74,79,87,45,0,30,3,leï¿½ marï¿½ï¿½lia mendo
save your tears (with ariana grande) (remix),"ariana grande, the weeknd",2,2020,3,20,9161,5,1221813483,240,98,468,3,10,118,,Major,65,63,79,3,0,10,3,"save your tears (with ariana grande) (remix) ariana grande, the weeknd"
something in the orange,zach bryan,1,2022,4,22,3282,12,449701773,67,84,46,16,117,110,G,Major,59,22,38,42,0,12,3,something in the orange zach bryan
void,melanie martinez,1,2023,3,29,596,0,67070410,29,9,12,0,52,100,A,Major,72,42,66,18,4,19,4,void melanie martinez
dijeron que no la iba lograr,"fuerza regida, chino pacas",2,2023,3,14,320,6,116334601,5,48,2,1,9,142,G,Minor,70,76,79,26,0,11,7,"dijeron que no la iba lograr fuerza regida, chino pacas"
midnight rain,taylor swift,1,2022,10,21,2612,4,433356509,19,29,21,0,0,140,,Major,64,18,37,72,0,12,7,midnight rain taylor swift
if we ever broke up,mae stephens,1,2023,2,10,2040,4,165584767,81,27,66,9,444,116,G,Major,90,96,73,62,0,9,4,if we ever broke up mae stephens
you proof,morgan wallen,1,2022,5,13,2128,9,367814306,37,88,9,0,14,120,A,Major,73,64,85,25,0,61,3,you proof morgan wallen
la inocente,"feid, mora",2,2022,4,1,2598,37,477033549,28,57,43,8,85,92,F,Minor,76,46,79,31,0,7,6,"la inocente feid, mora"
malas decisiones,kenia os,1,2022,10,26,542,2,156214700,23,2,21,0,0,110,G#,Minor,81,64,79,5,0,31,3,malas decisiones kenia os
murder in my mind,kordhell,1,2022,1,21,2459,20,448843705,20,68,50,0,22,120,A#,Major,71,57,97,1,0,13,11,murder in my mind kordhell
gangsta's paradise,"coolio, l.v.",2,1995,7,11,10624,17,1357608774,21,0,386,0,,80,G#,Major,63,40,61,9,0,56,6,"gangsta's paradise coolio, l.v."
cairo,"karol g, ovy on the drums",2,2022,11,13,2418,26,294352144,52,66,55,1,16,115,F,Minor,95,43,69,47,0,9,31,"cairo karol g, ovy on the drums"
i love you so,the walters,1,2014,11,28,7536,7,972164968,44,19,135,0,6,76,A#,Major,58,46,67,65,0,13,4,i love you so the walters
dark red,steve lacy,1,2017,2,20,10431,7,920045682,71,53,181,0,10,172,F#,Major,60,77,78,45,0,12,6,dark red steve lacy
say you won't let go,james arthur,1,2016,9,9,15722,16,2420461338,231,37,"1,509",0,13,99,A#,Major,40,45,56,69,0,9,5,say you won't let go james arthur
the hills,the weeknd,1,2015,5,27,25744,4,1947371785,122,94,"1,992",0,18,136,,Minor,36,12,57,9,0,14,8,the hills the weeknd
heart to heart,mac demarco,1,2019,5,10,1640,0,244658767,27,27,29,1,1,150,G#,Minor,90,64,14,67,35,11,10,heart to heart mac demarco
peaches (from the super mario bros. movie),jack black,1,2023,4,7,34,0,68216992,0,0,0,0,0,92,A#,Minor,71,41,31,79,0,10,5,peaches (from the super mario bros. movie) jack black
marisola - remix,"duki, nicki nicole, cris mj, standly, stars music chile",5,2022,12,15,1845,16,223582566,20,8,30,2,0,95,C#,Major,77,72,87,17,0,7,5,"marisola - remix duki, nicki nicole, cris mj, standly, stars music chile"
lokera,"brray, rauw alejandro, lyanno",3,2022,7,25,3301,30,471819764,72,64,64,6,3,102,B,Minor,83,58,83,21,0,10,5,"lokera brray, rauw alejandro, lyanno"
low,sza,1,2022,12,9,1911,0,272377463,23,71,14,0,9,145,,Minor,70,34,55,43,0,16,6,low sza
numb,linkin park,1,2003,3,24,20111,5,1361425037,39,0,"7,341",0,0,110,A,Major,50,24,86,0,0,64,4,numb linkin park
