track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,combined
see you again,"tyler, the creator, kali uchis",3,2017,7,21,13387,64,1047101291,77,58,247,1,311,79,F#,Major,56,58,56,37,0,11,10,"see you again tyler, the creator, kali uchis"
barbie world (with aqua) [from barbie the album],"nicki minaj, aqua, ice spice",3,2023,6,23,1117,80,65156199,82,145,65,16,"1,133",144,,Major,77,75,58,52,0,23,25,"barbie world (with aqua) [from barbie the album] nicki minaj, aqua, ice spice"
angels like you,miley cyrus,1,2020,11,27,3372,19,570515054,65,48,138,1,102,122,F,Major,67,49,64,10,0,10,3,angels like you miley cyrus
i ain't worried,onerepublic,1,2022,5,13,8431,76,1085685420,241,127,458,37,332,140,,Major,71,82,81,11,0,6,5,i ain't worried onerepublic
die for you,the weeknd,1,2016,11,24,2483,59,1647990401,68,21,24,0,259,134,C#,Minor,59,51,52,9,0,15,7,die for you the weeknd
starboy,"the weeknd, daft punk",2,2016,9,21,29536,79,2565529693,281,137,"2,445",1,140,186,G,Major,68,49,59,16,0,13,28,"starboy the weeknd, daft punk"
die for you - remix,"ariana grande, the weeknd",2,2023,2,24,3408,47,518745108,87,86,74,1,16,67,C#,Minor,53,50,53,23,0,44,7,"die for you - remix ariana grande, the weeknd"
el cielo,"feid, myke towers, sky rompiendo",3,2023,6,2,1298,38,107753850,44,64,57,10,110,106,A#,Minor,72,17,64,7,0,10,5,"el cielo feid, myke towers, sky rompiendo"
baby don't hurt me,"david guetta, anne-marie, coi leray",3,2023,4,6,4277,66,177740666,145,111,213,11,810,128,G,Major,60,23,91,0,0,12,3,"baby don't hurt me david guetta, anne-marie, coi leray"
amargura,karol g,1,2023,2,24,1133,39,153372011,14,71,23,10,176,107,F#,Minor,92,55,70,18,0,15,7,amargura karol g
(it goes like) nanana - edit,peggy gou,1,2023,6,15,2259,59,57876440,0,0,109,17,0,130,G,Minor,67,96,88,12,19,8,4,(it goes like) nanana - edit peggy gou
another love,tom odell,1,2012,10,15,18371,83,1813673666,250,122,"3,394",19,,123,E,Minor,45,13,54,70,0,9,4,another love tom odell
blinding lights,the weeknd,1,2019,11,29,43899,69,3703895074,672,199,"3,421",20,,171,C#,Major,50,38,80,0,0,9,7,blinding lights the weeknd
moonlight,kali uchis,1,2023,2,24,2649,42,256483385,67,79,57,1,615,137,G,Minor,64,88,72,51,0,17,5,moonlight kali uchis
la bachata,manuel turizo,1,2022,5,26,6804,45,1214083358,139,111,161,15,210,125,G,Minor,84,85,68,58,0,22,4,la bachata manuel turizo
s91,karol g,1,2023,7,14,525,41,16011326,34,115,39,6,216,128,,Minor,86,42,72,59,0,9,19,s91 karol g
cardigan,taylor swift,1,2020,7,24,7923,29,812019557,106,112,142,4,215,130,,Minor,61,53,58,55,0,27,4,cardigan taylor swift
tï¿½ï¿,"dennis, mc kevin o chris",2,2023,5,4,731,15,111947664,27,17,73,4,167,130,B,Major,86,59,96,50,1,9,5,"tï¿½ï¿ dennis, mc kevin o chris"
boy's a liar pt. 2,"pinkpantheress, ice spice",2,2023,2,3,5184,41,156338624,154,84,102,14,37,133,F,Major,70,86,81,25,0,25,5,"boy's a liar pt. 2 pinkpantheress, ice spice"
left and right (feat. jung kook of bts),"charlie puth, bts, jung kook",3,2022,6,24,3107,39,720434240,38,0,4,0,0,101,D,Major,88,72,59,62,0,9,3,"left and right (feat. jung kook of bts) charlie puth, bts, jung kook"
beso,"rauw alejandro, rosalï¿½",2,2023,3,24,4053,50,357925728,82,121,182,12,171,95,F,Minor,77,53,64,74,0,17,14,"beso rauw alejandro, rosalï¿½"
hey mor,"ozuna, feid",2,2022,10,6,4637,38,674072710,63,79,89,11,16,98,C#,Minor,90,40,59,0,0,10,29,"hey mor ozuna, feid"
yellow,chris molitor,1,1999,1,1,31358,43,1755214421,196,2,"4,053",5,0,173,B,Major,43,28,66,0,0,23,3,yellow chris molitor
karma,taylor swift,1,2022,10,21,3818,23,404562836,37,55,32,0,272,90,G#,Major,64,10,62,7,0,48,7,karma taylor swift
people,libianca,1,2022,12,2,3506,56,373199958,105,64,169,8,529,198,A#,Minor,59,71,42,55,0,10,7,people libianca
overdrive,post malone,1,2023,7,14,410,36,14780425,36,32,31,1,26,140,C#,Major,56,48,73,0,0,35,4,overdrive post malone
enchanted (taylor's version),taylor swift,1,2023,7,7,148,24,39578178,32,93,8,2,5,82,G#,Major,51,22,53,1,0,15,3,enchanted (taylor's version) taylor swift
baby hello,"rauw alejandro, bizarrap",2,2023,6,23,1004,35,54266102,42,80,58,3,169,130,C#,Minor,77,84,89,17,0,43,5,"baby hello rauw alejandro, bizarrap"
heat waves,glass animals,1,2020,6,28,22543,63,2557975762,386,144,707,28,,81,B,Major,76,53,53,44,0,9,9,heat waves glass animals
golden hour,jvke,1,2022,7,15,4511,36,751134527,70,58,109,18,230,94,C#,Minor,51,14,59,65,18,25,3,golden hour jvke
sweater weather,the neighbourhood,1,2012,5,14,16413,61,2282771485,166,87,"1,056",1,,124,A#,Major,61,41,81,5,2,10,3,sweater weather the neighbourhood
"quevedo: bzrp music sessions, vol. 52","bizarrap, quevedo",2,2022,7,6,8506,45,1356565093,94,65,164,14,176,128,D,Major,62,55,78,1,3,23,4,"quevedo: bzrp music sessions, vol. 52 bizarrap, quevedo"
viva la vida,coldplay,1,2008,1,1,33898,62,1592909789,233,0,"4,095",9,0,138,F,Minor,49,42,62,9,0,11,3,viva la vida coldplay
here with me,d4vd,1,2022,7,17,3246,23,635412045,94,85,68,1,84,132,E,Major,58,27,48,50,0,12,3,here with me d4vd
unholy (feat. kim petras),"sam smith, kim petras",2,2022,9,22,8576,42,1230675890,216,108,331,26,154,131,D,Major,71,24,47,1,0,27,9,"unholy (feat. kim petras) sam smith, kim petras"
yandel 150,"yandel, feid",2,2022,12,20,3618,38,585695368,47,74,80,14,194,168,F#,Minor,78,58,73,5,0,10,7,"yandel 150 yandel, feid"
corazï¿½ï¿½n va,maria becerra,1,2023,6,22,370,20,43857627,12,16,18,4,93,98,C#,Major,68,40,79,33,0,30,6,corazï¿½ï¿½n va maria becerra
riptide,vance joy,1,1975,1,1,31123,55,2009094673,300,65,"1,003",1,0,102,C#,Major,48,50,73,43,0,15,4,riptide vance joy
until i found you (with em beihold) - em beihold version,"em beihold, stephen sanchez",2,2022,4,22,2790,30,600976848,60,96,71,0,115,101,A#,Major,34,32,57,78,0,20,3,"until i found you (with em beihold) - em beihold version em beihold, stephen sanchez"
novidade na ï¿½ï¿,"mc livinho, dj matt d",2,2023,6,23,267,9,39709092,9,6,25,2,72,130,F,Major,63,36,34,76,0,35,9,"novidade na ï¿½ï¿ mc livinho, dj matt d"
back to december (taylor's version),taylor swift,1,2023,7,7,139,17,39228929,16,72,5,0,8,142,D,Major,50,20,64,1,0,12,3,back to december (taylor's version) taylor swift
stay (with justin bieber),"justin bieber, the kid laroi",2,2021,7,9,17050,36,2665343922,492,99,798,31,0,170,C#,Major,59,48,76,4,0,10,5,"stay (with justin bieber) justin bieber, the kid laroi"
el merengue,"marshmello, manuel turizo",2,2023,3,3,2114,44,223633238,80,75,110,11,323,124,G#,Minor,78,70,68,3,1,11,4,"el merengue marshmello, manuel turizo"
someone you loved,lewis capaldi,1,2018,11,8,17836,53,2887241814,440,125,"1,800",0,,110,C#,Major,50,45,41,75,0,11,3,someone you loved lewis capaldi
me porto bonito,"chencho corleone, bad bunny",2,2022,5,6,8870,43,1440757818,104,120,141,26,49,92,C#,Minor,91,43,71,9,0,9,8,"me porto bonito chencho corleone, bad bunny"
makeba,jain,1,2015,6,22,6060,53,165484133,150,148,"2,703",22,"1,451",116,D,Major,82,40,66,39,51,25,7,makeba jain
montagem - fr punk,"ayparia, unxbected",2,2012,6,20,641,50,58054811,1,52,8,0,"1,170",129,A,Major,63,84,82,70,8,9,7,"montagem - fr punk ayparia, unxbected"
fast car,luke combs,1,2023,3,24,1446,12,157058870,57,97,35,0,429,98,G#,Major,71,67,60,19,0,12,3,fast car luke combs
what it is (solo version),doechii,1,2023,3,17,804,25,95131998,29,76,24,0,162,172,C#,Minor,74,76,76,6,0,10,9,what it is (solo version) doechii
coco chanel,"bad bunny, eladio carrion",2,2023,3,17,1962,38,250305248,28,89,29,5,82,150,D,Major,68,14,76,4,0,10,4,"coco chanel bad bunny, eladio carrion"
donï¿½ï¿½ï¿½t bl,taylor swift,1,2017,11,8,4875,23,685032533,19,45,0,0,10,136,A,Minor,62,19,53,11,0,6,4,donï¿½ï¿½ï¿½t bl taylor swift
still with you,jung kook,1,2020,6,5,31,39,38411956,2,107,8,0,0,88,C#,Minor,53,34,47,9,0,83,4,still with you jung kook
all my life (feat. j. cole),"j. cole, lil durk",2,2023,5,12,2175,23,144565150,69,145,69,2,478,143,D#,Major,83,69,44,15,0,10,33,"all my life (feat. j. cole) j. cole, lil durk"
say yes to heaven,lana del rey,1,2023,3,17,2000,46,127567540,49,105,63,1,0,100,F#,Minor,49,17,35,71,9,11,3,say yes to heaven lana del rey
snooze,sza,1,2022,12,9,2839,25,399686758,58,156,42,1,236,143,F,Major,56,39,55,14,0,11,13,snooze sza
summertime sadness,lana del rey,1,2011,1,1,20333,52,983637508,89,143,"1,632",3,200,112,C#,Minor,56,24,66,7,0,12,3,summertime sadness lana del rey
take two,bts,1,2023,6,9,674,47,118482347,20,106,25,4,78,93,G,Major,62,57,59,3,0,38,3,take two bts
lover,taylor swift,1,2012,1,1,8448,23,882831184,160,110,163,0,5,206,G,Major,43,50,55,50,0,15,10,lover taylor swift
too many nights (feat. don toliver & with future),"future, metro boomin, don toliver",3,2022,12,2,2110,58,286400165,17,119,19,2,266,88,G,Minor,68,17,71,15,0,11,5,"too many nights (feat. don toliver & with future) future, metro boomin, don toliver"
chemical,post malone,1,2023,4,14,2528,39,172825906,56,91,59,3,486,170,D,Major,50,37,90,0,0,12,5,chemical post malone
mockingbird,eminem,1,2004,1,1,12985,61,1241559043,49,98,"2,394",5,204,84,E,Minor,62,24,67,21,0,13,28,mockingbird eminem
new jeans,newjeans,1,2023,7,7,77,35,29562220,8,166,4,4,34,134,E,Minor,81,53,72,51,0,12,5,new jeans newjeans
primera cita,carin leon,1,2022,4,20,266,27,77309611,6,40,6,6,202,158,A#,Major,54,50,40,61,0,10,6,primera cita carin leon
cold heart - pnau remix,"dua lipa, elton john, pnau",3,2017,11,10,21097,52,1605224506,384,135,"1,034",37,312,116,C#,Major,80,92,80,4,0,10,3,"cold heart - pnau remix dua lipa, elton john, pnau"
dandelions,ruth b.,1,2017,4,28,3423,21,1116995633,41,100,59,1,32,117,C#,Major,61,45,69,2,0,9,3,dandelions ruth b.
bones,imagine dragons,1,2021,3,11,4198,44,838079900,98,108,327,17,153,114,F,Minor,77,65,72,2,0,7,5,bones imagine dragons
set fire to the rain,adele,1,2011,1,1,14739,43,1163620694,88,112,"2,163",5,519,108,D,Minor,61,47,68,0,0,13,3,set fire to the rain adele
money trees,"kendrick lamar, jay rock",2,2012,1,1,26792,32,1093605526,69,113,695,0,458,144,E,Minor,74,37,53,7,0,21,10,"money trees kendrick lamar, jay rock"
tak segampang itu,anggi marito,1,2022,12,2,213,6,179659294,7,6,0,0,48,130,F,Major,51,18,44,76,0,11,3,tak segampang itu anggi marito
lagunas,"jasiel nuï¿½ï¿½ez, peso p",2,2023,6,22,58,18,39058561,2,106,4,2,184,116,B,Major,77,79,62,33,1,15,3,"lagunas jasiel nuï¿½ï¿½ez, peso p"
mine (taylor's version),taylor swift,1,2023,7,7,99,15,36912123,21,52,6,1,0,121,G,Major,65,49,78,0,0,17,4,mine (taylor's version) taylor swift
everybody wants to rule the world,tears for fears,1,1985,2,17,41751,25,1205951614,101,32,"2,655",0,666,112,G,Major,64,54,81,36,0,11,6,everybody wants to rule the world tears for fears
no role modelz,j. cole,1,2014,12,9,21164,36,1791000570,80,65,476,0,14,100,A#,Minor,70,47,52,30,0,6,33,no role modelz j. cole
tattoo,loreen,1,2023,2,25,2988,59,201660859,74,102,145,18,925,150,D#,Minor,55,30,78,24,0,12,8,tattoo loreen
rara vez,"taiu, milo j",2,2023,2,8,893,38,248088961,19,23,24,3,88,120,F,Minor,84,96,71,18,0,34,17,"rara vez taiu, milo j"
vagabundo,"sebastian yatra, manuel turizo, beï¿½ï",3,2023,5,12,1094,34,90839753,40,58,47,8,203,127,B,Minor,82,89,85,4,0,23,6,"vagabundo sebastian yatra, manuel turizo, beï¿½ï"
august,taylor swift,1,2020,7,24,7324,22,607123776,25,81,61,1,44,90,F,Major,51,42,61,53,0,9,3,august taylor swift
luna,"junior h, peso pluma",2,2023,6,22,201,11,55842345,19,117,8,1,74,128,A,Minor,75,79,63,33,0,15,4,"luna junior h, peso pluma"
miracle (with ellie goulding),"calvin harris, ellie goulding",2,2023,3,10,5120,48,211050784,161,115,246,9,638,143,A,Major,64,31,87,4,4,8,4,"miracle (with ellie goulding) calvin harris, ellie goulding"
nonsense,sabrina carpenter,1,2022,7,15,2346,27,342897938,69,12,38,8,64,139,G#,Major,74,68,68,3,0,26,4,nonsense sabrina carpenter
que vuelvas,"carin leon, grupo frontera",2,2022,12,9,763,26,2762,21,110,21,9,71,162,A#,Major,49,78,64,19,0,11,4,"que vuelvas carin leon, grupo frontera"
por las noches,peso pluma,1,2021,6,11,457,24,330346424,8,116,4,3,2,92,,Major,81,39,60,31,0,7,3,por las noches peso pluma
feliz cumpleaï¿½ï¿½os fe,feid,1,2022,8,19,3430,38,601863821,45,69,52,4,3,95,F,Major,87,57,55,10,0,29,7,feliz cumpleaï¿½ï¿½os fe feid
can't hold us (feat. ray dalton),"ray dalton, ryan lewis, macklemore",3,2011,8,16,6074,52,1953533826,201,44,"6,551",2,0,146,D,Major,63,88,93,3,0,10,8,"can't hold us (feat. ray dalton) ray dalton, ryan lewis, macklemore"
watermelon sugar,harry styles,1,2019,11,17,21915,34,2322580122,437,115,"1,212",12,,95,,Major,55,56,82,12,0,34,5,watermelon sugar harry styles
lovely - bonus track,"billie eilish, khalid",2,2017,8,11,15032,30,2355719893,221,96,"1,078",2,136,115,E,Minor,35,12,30,93,0,10,3,"lovely - bonus track billie eilish, khalid"
"rauw alejandro: bzrp music sessions, vol. 56","rauw alejandro, bizarrap",2,2023,6,21,871,32,66902503,25,59,32,5,88,128,B,Major,78,59,65,10,0,26,5,"rauw alejandro: bzrp music sessions, vol. 56 rauw alejandro, bizarrap"
queencard,(g)i-dle,1,2023,5,15,451,33,96273746,10,126,7,0,148,130,E,Minor,82,69,83,3,0,27,5,queencard (g)i-dle
omg,newjeans,1,2023,1,2,1783,27,430977451,26,124,15,1,22,127,A,Minor,80,74,77,36,0,11,4,omg newjeans
radio,lana del rey,1,2011,1,1,9389,46,284819874,24,122,282,3,368,150,D,Major,42,20,86,21,0,9,9,radio lana del rey
"shakira: bzrp music sessions, vol. 53","shakira, bizarrap",2,2023,1,11,5724,44,721975598,119,108,254,29,22,122,D,Minor,78,50,63,27,0,9,5,"shakira: bzrp music sessions, vol. 53 shakira, bizarrap"
505,arctic monkeys,1,2007,4,20,13985,25,1217120710,30,80,588,1,1,140,,Major,52,20,85,0,0,7,5,505 arctic monkeys
"calling (spider-man: across the spider-verse) (metro boomin & swae lee, nav, feat. a boogie wit da hoodie)","swae lee, a boogie wit da hoodie, metro boomin, nav",4,2023,6,2,1051,16,109276132,31,37,31,0,189,140,,Major,63,22,54,46,0,12,8,"calling (spider-man: across the spider-verse) (metro boomin & swae lee, nav, feat. a boogie wit da hoodie) swae lee, a boogie wit da hoodie, metro boomin, nav"
trance (with travis scott & young thug),"travis scott, young thug, metro boomin",3,2022,12,2,1682,46,276259178,24,90,30,1,176,119,C#,Minor,75,48,53,18,0,18,34,"trance (with travis scott & young thug) travis scott, young thug, metro boomin"
"tere vaaste (from ""zara hatke zara bachke"")","sachin-jigar, shadab faridi, altamash faridi, amitabh bhattacharya, varun jain",5,2023,5,22,182,8,54225632,3,88,1,0,52,110,G,Minor,76,96,72,32,0,9,4,"tere vaaste (from ""zara hatke zara bachke"") sachin-jigar, shadab faridi, altamash faridi, amitabh bhattacharya, varun jain"
perfect,ed sheeran,1,2017,1,1,16596,13,2559529074,7,0,"2,094",0,0,95,G#,Major,60,17,45,16,0,11,2,perfect ed sheeran
romantic homicide,d4vd,1,2022,7,20,2335,23,681583126,82,55,50,0,9,132,F#,Major,56,20,55,45,1,32,3,romantic homicide d4vd
believer,imagine dragons,1,2017,1,31,18986,23,2594040133,250,121,"2,969",10,31,125,A#,Minor,77,74,78,4,0,23,11,believer imagine dragons
novo balanï¿½,"veigh, bvga beatz, supernova ent, prod malax",4,2023,5,19,283,7,81102253,6,9,26,1,66,124,D#,Minor,84,65,50,67,0,13,6,"novo balanï¿½ veigh, bvga beatz, supernova ent, prod malax"
"gol bolinha, gol quadrado 2","mc pedrinho, dj 900",2,2023,6,1,293,8,11956641,5,2,30,2,66,133,B,Minor,93,68,65,42,0,12,25,"gol bolinha, gol quadrado 2 mc pedrinho, dj 900"
without me,eminem,1,2002,1,1,21081,43,1687664027,98,76,"3,889",5,0,112,G,Major,92,67,66,0,0,36,9,without me eminem
quema,"sog, ryan castro, peso pluma",3,2023,7,13,437,31,11599388,17,29,26,3,208,97,,Major,79,92,89,5,0,6,5,"quema sog, ryan castro, peso pluma"
stargirl interlude,"the weeknd, lana del rey",2,2016,11,24,1275,32,611700552,13,8,5,0,1,90,F,Minor,59,52,48,38,5,10,11,"stargirl interlude the weeknd, lana del rey"
ojitos lindos,"bomba estï¿½ï¿½reo, bad b",2,2022,5,6,6135,38,1133865788,71,113,99,13,28,80,D#,Minor,65,27,69,8,0,53,4,"ojitos lindos bomba estï¿½ï¿½reo, bad b"
somewhere only we know,keane,1,2004,1,1,20015,16,1089402494,107,69,"5,239",0,558,172,A,Major,45,33,59,6,0,8,3,somewhere only we know keane
those eyes,new west,1,2019,5,10,1507,14,411747614,24,71,44,1,195,120,E,Major,60,24,35,73,0,31,3,those eyes new west
el gordo trae el mando,chino pacas,1,2023,1,27,539,21,255932395,7,71,4,2,13,140,G,Minor,74,96,80,18,0,5,5,el gordo trae el mando chino pacas
mi bello angel,natanael cano,1,2023,6,30,86,8,31873544,7,76,3,1,93,128,A,Minor,81,90,77,1,0,9,5,mi bello angel natanael cano
bye,peso pluma,1,2023,5,26,324,14,95053634,13,110,8,2,60,122,,Major,78,70,81,57,0,10,5,bye peso pluma
danza kuduro,"don omar, lucenzo",2,2010,1,1,17138,37,1279434863,119,81,974,1,503,130,,Major,47,86,92,8,0,5,24,"danza kuduro don omar, lucenzo"
nosso quadro,"ana castela, agroplay",2,2023,2,2,894,9,233801632,14,88,66,3,72,160,A,Major,69,61,71,33,0,31,20,"nosso quadro ana castela, agroplay"
locked out of heaven,bruno mars,1,2012,12,5,1622,9,1481349984,0,0,356,0,0,144,F,Major,73,87,70,6,0,28,5,locked out of heaven bruno mars
un finde | crossover #2,"big one, fmk, ke personajes",3,2023,4,4,561,14,142095275,4,14,12,5,56,192,B,Major,50,85,52,11,0,28,6,"un finde | crossover #2 big one, fmk, ke personajes"
jimmy cooks (feat. 21 savage),"drake, 21 savage",2,2022,6,17,5871,27,618885532,81,121,58,1,34,163,,Major,54,40,67,0,0,9,17,"jimmy cooks (feat. 21 savage) drake, 21 savage"
counting stars,onerepublic,1,2013,1,1,29215,43,2011464183,179,97,"3,394",11,153,122,C#,Minor,66,48,71,6,0,12,4,counting stars onerepublic
ghost,justin bieber,1,2021,3,19,5866,24,1167330737,107,38,95,0,,154,D,Major,61,41,74,21,0,40,6,ghost justin bieber
under the influence,chris brown,1,2019,10,4,3859,26,929964809,133,181,3,0,,117,A,Minor,73,31,69,6,0,11,4,under the influence chris brown
prc,"natanael cano, peso pluma",2,2023,1,23,961,26,436027885,19,143,10,6,15,138,G,Minor,78,89,83,10,0,12,5,"prc natanael cano, peso pluma"
gasolina,daddy yankee,1,2004,7,13,6457,18,657723613,98,95,453,0,454,96,,Major,86,74,80,33,0,8,6,gasolina daddy yankee
one dance,"drake, wizkid, kyla",3,2016,4,4,43257,24,2713922350,433,107,"3,631",0,26,104,C#,Major,77,36,63,1,0,36,5,"one dance drake, wizkid, kyla"
enchanted,taylor swift,1,2010,1,1,4564,16,621660989,24,101,113,0,40,164,G#,Major,45,24,62,8,0,16,3,enchanted taylor swift
save your tears,the weeknd,1,2020,3,20,12688,13,1591223784,197,115,112,0,200,118,,Major,68,61,82,2,0,50,3,save your tears the weeknd
sure thing,miguel,1,2010,5,25,13801,19,950906471,137,125,435,6,285,81,B,Minor,68,51,60,3,0,19,10,sure thing miguel
every breath you take - remastered 2003,the police,1,1983,1,6,22439,19,1593270737,211,74,929,0,129,117,C#,Major,82,73,45,54,0,7,3,every breath you take - remastered 2003 the police
the night we met,lord huron,1,2015,2,2,18515,35,1410088830,70,82,939,1,162,174,D,Major,45,10,37,97,25,64,4,the night we met lord huron
we found love,"rihanna, calvin harris",2,2011,1,1,36843,21,1235005533,321,91,"4,607",1,58,128,C#,Major,73,60,77,3,0,11,4,"we found love rihanna, calvin harris"
when i was your man,bruno mars,1,2012,12,5,2420,11,1661187319,0,0,806,0,0,145,,Major,60,43,27,94,0,14,4,when i was your man bruno mars
let me down slowly,alec benjamin,1,2018,5,25,5897,19,1374581173,0,0,885,0,0,150,C#,Minor,65,51,55,73,0,14,3,let me down slowly alec benjamin
"am i dreaming (metro boomin & a$ap rocky, roisee)","a$ap rocky, metro boomin, roisee",3,2023,6,2,727,16,94186466,17,60,28,1,44,90,A,Minor,60,13,53,4,0,21,4,"am i dreaming (metro boomin & a$ap rocky, roisee) a$ap rocky, metro boomin, roisee"
do i wanna know?,arctic monkeys,1,2013,1,1,33783,26,1788326445,133,92,"2,733",1,26,85,F,Major,55,42,53,17,0,22,3,do i wanna know? arctic monkeys
demons,imagine dragons,1,2012,1,1,26694,13,1840364617,65,82,"3,425",4,13,180,D#,Major,33,38,71,20,0,28,5,demons imagine dragons
ýýýýýýýýýýýý,yoasobi,1,2023,4,12,356,16,143573775,35,102,8,1,117,166,C#,Major,57,84,94,11,0,37,9,ýýýýýýýýýýýý yoasobi
reminder,the weeknd,1,2016,11,25,6518,17,684675814,45,85,238,1,47,160,G#,Major,71,40,50,16,0,16,22,reminder the weeknd
shake it off,taylor swift,1,2014,1,1,21335,13,1113838873,328,70,"1,378",9,20,160,G,Major,65,95,80,5,0,41,16,shake it off taylor swift
why'd you only call me when you're high?,arctic monkeys,1,2013,1,1,23389,29,1267333350,54,70,"1,089",2,1,92,D,Major,70,81,63,4,0,8,4,why'd you only call me when you're high? arctic monkeys
snap,rosa linn,1,2022,3,19,3202,18,726307468,148,80,226,24,0,170,,Major,56,53,64,11,0,45,6,snap rosa linn
shape of you,ed sheeran,1,2017,1,6,32181,10,3562543890,33,0,"6,808",7,0,96,C#,Minor,83,93,65,58,0,9,8,shape of you ed sheeran
night changes,one direction,1,2014,11,17,7124,18,1131090940,60,20,2,0,,120,G#,Major,67,40,52,86,0,12,4,night changes one direction
fin de semana,"oscar maydon, junior h",2,2023,1,13,592,14,307370144,11,84,6,1,30,98,,Major,70,37,54,6,0,9,8,"fin de semana oscar maydon, junior h"
creep,radiohead,1,1992,9,21,36724,7,1271293243,146,72,"6,807",5,80,92,G,Major,53,12,34,1,0,12,4,creep radiohead
car's outside,james arthur,1,2019,10,18,794,10,265882712,38,25,61,0,263,150,A,Major,34,24,56,4,0,11,3,car's outside james arthur
apocalypse,cigarettes after sex,1,2017,3,21,13091,17,841749534,61,96,790,2,116,94,F,Major,37,17,47,2,46,11,3,apocalypse cigarettes after sex
cheques,shubh,1,2023,5,19,67,8,47956378,7,10,0,0,57,90,E,Minor,74,36,63,26,0,27,5,cheques shubh
pink + white,frank ocean,1,2016,8,20,21574,30,806397070,112,68,266,1,39,160,A,Major,54,54,55,67,0,42,11,pink + white frank ocean
circles,post malone,1,2019,8,30,19664,16,2132335812,391,73,633,3,37,120,,Major,70,59,75,24,0,9,4,circles post malone
just the way you are,bruno mars,1,2010,1,1,21106,13,1641426668,82,0,"2,946",0,0,109,F,Major,63,46,85,1,0,9,5,just the way you are bruno mars
take me to church,hozier,1,2013,9,13,23804,31,2135158446,187,99,"4,623",1,0,129,E,Minor,57,41,66,63,0,12,5,take me to church hozier
bebe dame,"fuerza regida, grupo frontera",2,2022,12,16,849,22,367316268,27,129,21,7,111,157,G,Major,54,75,60,30,0,7,5,"bebe dame fuerza regida, grupo frontera"
you belong with me (taylorï¿½ï¿½ï¿½s ve,taylor swift,1,2021,4,9,2619,12,350381515,47,90,1,0,7,130,F#,Major,63,49,73,5,0,9,3,you belong with me (taylorï¿½ï¿½ï¿½s ve taylor swift
titi me preguntï¿,bad bunny,1,2022,5,6,9037,42,1264310836,124,133,139,14,166,107,F,Minor,65,19,72,10,0,13,25,titi me preguntï¿ bad bunny
better than revenge (taylor's version),taylor swift,1,2023,7,7,86,11,30343206,3,33,3,0,1,146,B,Minor,50,67,89,0,0,19,8,better than revenge (taylor's version) taylor swift
shut up my moms calling,hotel ugly,1,2020,2,10,1788,14,405136812,1,50,19,0,19,139,A,Minor,48,37,41,32,0,10,10,shut up my moms calling hotel ugly
have you ever seen the rain?,creedence clearwater revival,1,1968,7,1,15890,14,1145727611,71,37,653,0,167,116,,Major,74,76,70,7,0,13,3,have you ever seen the rain? creedence clearwater revival
es un secreto,plan b,1,2010,7,20,492,36,540654286,4,3,19,0,0,95,F#,Minor,84,52,77,12,0,7,4,es un secreto plan b
polaris - remix,"feid, mora, saiko, quevedo",4,2023,6,8,773,33,57312735,20,46,21,8,99,170,G#,Minor,62,55,80,15,0,37,7,"polaris - remix feid, mora, saiko, quevedo"
ditto,newjeans,1,2022,12,19,1154,22,397582059,28,125,11,1,51,134,F#,Minor,81,18,64,3,0,10,11,ditto newjeans
take on me,a-ha,1,1984,10,19,44927,17,1479115056,34,0,"5,108",6,0,84,F#,Minor,57,86,90,2,0,9,5,take on me a-ha
"annihilate (spider-man: across the spider-verse) (metro boomin & swae lee, lil wayne, offset)","swae lee, lil wayne, offset, metro boomin",4,2023,6,2,551,4,86773632,13,46,20,1,10,146,B,Minor,61,20,48,21,0,12,6,"annihilate (spider-man: across the spider-verse) (metro boomin & swae lee, lil wayne, offset) swae lee, lil wayne, offset, metro boomin"
"angel pt 1 (feat. jimin of bts, jvke & muni long)","kodak black, nle choppa, muni long, jvke, jimin",5,2023,5,1,577,14,133753727,22,18,15,1,0,74,A#,Minor,53,24,67,11,0,10,28,"angel pt 1 (feat. jimin of bts, jvke & muni long) kodak black, nle choppa, muni long, jvke, jimin"
acrï¿½ï¿½s,shakira,1,2023,5,11,955,29,123124076,37,50,79,11,31,144,B,Major,75,35,48,84,0,10,12,acrï¿½ï¿½s shakira
amg,"natanael cano, gabito ballesteros, peso pluma",3,2022,11,24,995,19,463564958,12,117,9,5,3,136,B,Minor,77,79,73,15,0,27,10,"amg natanael cano, gabito ballesteros, peso pluma"
"phir aur kya chahiye (from ""zara hatke zara bachke"")","arijit singh, sachin-jigar, amitabha bhattacharya",3,2023,5,15,178,6,64533040,6,71,1,0,31,100,E,Major,56,53,55,53,0,12,4,"phir aur kya chahiye (from ""zara hatke zara bachke"") arijit singh, sachin-jigar, amitabha bhattacharya"
s-class,stray kids,1,2023,6,2,290,19,65496046,9,101,5,0,73,105,F,Minor,89,67,78,9,0,7,33,s-class stray kids
hits different,taylor swift,1,2023,5,26,547,0,68616963,15,15,6,0,0,106,F,Major,67,24,78,15,0,30,4,hits different taylor swift
