track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,combined,peak_position,weeks_on_chart
search & rescue,drake,1,2023,4,7,2066,6,175097833.0,58,70,43,0,182,142,A#,Minor,82,54,44,6,0,33,7,search & rescue drake,2,57
lavender haze,taylor swift,1,2022,10,21,3763,8,488386797.0,51,43,38,10,1,97,A#,Major,73,10,44,26,0,16,8,lavender haze taylor swift,2,97
efecto,bad bunny,1,2022,5,6,4004,33,1047480053.0,34,65,43,6,2,98,G,Minor,80,23,48,14,0,6,5,efecto bad bunny,34,58
just wanna rock,lil uzi vert,1,2022,10,17,3995,13,457184829.0,72,27,47,0,0,150,B,Major,49,4,55,7,0,6,3,just wanna rock lil uzi vert,10,136
unstoppable,sia,1,2016,1,21,7681,13,939844851.0,119,66,"1,145",2,,174,A,Major,47,27,78,11,0,10,8,unstoppable sia,28,93
until i found you,stephen sanchez,1,2021,9,1,4427,4,726434358.0,69,100,154,20,438,202,A#,Major,34,25,51,69,0,18,4,until i found you stephen sanchez,23,190
easy on me,adele,1,2021,10,14,10195,20,1406111294.0,258,87,657,22,9,142,F,Major,60,13,37,58,0,13,3,easy on me adele,1,110
the real slim shady,eminem,1,2000,1,1,20763,27,1424589568.0,81,53,"3,271",1,17,104,F,Minor,95,78,66,3,0,4,6,the real slim shady eminem,4,47
the color violet,tory lanez,1,2021,12,10,2585,32,415932686.0,3,79,21,1,54,105,F#,Minor,65,46,53,16,0,9,5,the color violet tory lanez,63,12
glimpse of us,joji,1,2022,6,10,6330,6,988515741.0,109,42,158,3,31,170,G#,Major,44,27,32,89,0,14,5,glimpse of us joji,8,55
haegeum,agust d,1,2023,4,21,244,12,118810253.0,6,84,10,2,9,85,G,Major,70,83,84,31,0,47,30,haegeum agust d,58,1
never felt so alone,labrinth,1,2023,4,7,1730,3,117747907.0,46,5,51,0,20,98,F,Major,44,36,41,50,0,38,5,never felt so alone labrinth,62,3
ceilings,lizzy mcalpine,1,2022,4,8,3242,9,293186992.0,67,55,48,0,6,148,A,Major,51,27,33,48,0,22,3,ceilings lizzy mcalpine,54,16
cupid,fifty fifty,1,2023,2,24,526,10,139681964.0,15,93,30,0,320,120,D,Major,77,94,66,65,0,38,3,cupid fifty fifty,17,73
slut me out,nle choppa,1,2022,4,22,816,4,190490915.0,21,4,13,0,4,121,F#,Minor,94,71,61,12,0,53,42,slut me out nle choppa,28,31
all of the girls you loved before,taylor swift,1,2019,8,23,1282,6,185240616.0,26,6,19,0,5,96,D,Major,72,40,47,71,0,13,4,all of the girls you loved before taylor swift,12,7
provenza,karol g,1,2022,4,21,6587,34,885093467.0,114,104,147,11,20,111,C#,Major,87,53,52,66,1,11,5,provenza karol g,25,47
shivers,ed sheeran,1,2021,9,9,10147,30,1302184087.0,234,71,543,18,,141,D,Major,79,82,86,28,0,4,9,shivers ed sheeran,4,314
made you look,meghan trainor,1,2022,10,21,3956,6,502574952.0,142,23,127,3,16,145,A#,Major,84,88,53,35,0,8,7,made you look meghan trainor,11,48
no se va,grupo frontera,1,2022,4,28,924,18,404887295.0,17,80,22,9,38,173,,Major,59,69,53,12,0,23,3,no se va grupo frontera,57,62
shut down,blackpink,1,2022,9,16,1524,17,482175240.0,53,120,62,0,2,110,,Major,82,67,69,0,0,18,4,shut down blackpink,25,1
call out my name,the weeknd,1,2018,3,29,11087,6,1449799467.0,151,107,801,1,105,134,C#,Major,45,17,60,21,0,33,4,call out my name the weeknd,4,42
happy,nf,1,2023,3,25,660,0,52722996.0,22,7,11,0,78,106,G,Major,73,22,86,31,0,12,4,happy nf,54,3
late night talking,harry styles,1,2022,5,20,7461,8,743693613.0,166,42,199,16,58,115,A#,Major,71,90,73,30,0,11,5,late night talking harry styles,3,71
something in the orange,zach bryan,1,2022,4,22,3282,12,449701773.0,67,84,46,16,117,110,G,Major,59,22,38,42,0,12,3,something in the orange zach bryan,10,532
midnight rain,taylor swift,1,2022,10,21,2612,4,433356509.0,19,29,21,0,0,140,,Major,64,18,37,72,0,12,7,midnight rain taylor swift,5,6
you proof,morgan wallen,1,2022,5,13,2128,9,367814306.0,37,88,9,0,14,120,A,Major,73,64,85,25,0,61,3,you proof morgan wallen,5,423
i love you so,the walters,1,2014,11,28,7536,7,972164968.0,44,19,135,0,6,76,A#,Major,58,46,67,65,0,13,4,i love you so the walters,71,33
dark red,steve lacy,1,2017,2,20,10431,7,920045682.0,71,53,181,0,10,172,F#,Major,60,77,78,45,0,12,6,dark red steve lacy,78,6
say you won't let go,james arthur,1,2016,9,9,15722,16,2420461338.0,231,37,"1,509",0,13,99,A#,Major,40,45,56,69,0,9,5,say you won't let go james arthur,11,336
the hills,the weeknd,1,2015,5,27,25744,4,1947371785.0,122,94,"1,992",0,18,136,,Minor,36,12,57,9,0,14,8,the hills the weeknd,1,285
heart to heart,mac demarco,1,2019,5,10,1640,0,244658767.0,27,27,29,1,1,150,G#,Minor,90,64,14,67,35,11,10,heart to heart mac demarco,83,2
low,sza,1,2022,12,9,1911,0,272377463.0,23,71,14,0,9,145,,Minor,70,34,55,43,0,16,6,low sza,17,36
numb,linkin park,1,2003,3,24,20111,5,1361425037.0,39,0,"7,341",0,0,110,A,Major,50,24,86,0,0,64,4,numb linkin park,11,125
one thing at a time,morgan wallen,1,2022,12,2,811,4,148469433.0,11,58,5,0,21,142,G,Major,61,92,91,0,0,26,3,one thing at a time morgan wallen,10,115
everything i love,morgan wallen,1,2023,1,31,579,0,95623148.0,11,54,0,0,103,104,G#,Major,56,72,85,0,0,15,3,everything i love morgan wallen,14,195
heaven,niall horan,1,2023,2,17,1553,2,144584800.0,61,6,48,0,150,92,F,Major,57,68,76,7,0,33,3,heaven niall horan,62,5
i wrote the book,morgan wallen,1,2023,1,31,430,0,83021468.0,15,17,0,0,0,144,D,Major,68,83,81,9,0,8,4,i wrote the book morgan wallen,18,42
spit in my face!,thxsomch,1,2022,10,31,629,14,303216294.0,32,3,9,0,0,94,G#,Major,73,65,79,5,2,11,6,spit in my face! thxsomch,100,1
spit in my face!,thxsomch,1,2022,10,31,573,0,301869854.0,1,0,18,0,24,166,C#,Major,70,57,57,9,20,11,7,spit in my face! thxsomch,100,1
red ruby da sleeze,nicki minaj,1,2023,3,3,1168,0,81419389.0,45,11,20,0,21,98,C#,Major,70,29,73,12,0,11,26,red ruby da sleeze nicki minaj,13,23
nobody gets me,sza,1,2022,12,9,2536,6,284908316.0,59,100,58,13,2,100,G,Major,36,28,28,81,0,18,3,nobody gets me sza,10,36
bloody mary,lady gaga,1,2011,1,1,3909,0,372476382.0,66,26,277,3,734,100,A,Minor,59,49,65,2,0,13,3,bloody mary lady gaga,41,41
thought you should know,morgan wallen,1,2022,5,6,968,4,203221468.0,16,53,1,0,61,140,F#,Major,53,51,70,49,0,14,3,thought you should know morgan wallen,7,315
in the end,linkin park,1,2000,10,24,25065,6,1624165576.0,63,0,"6,808",2,0,105,D#,Minor,55,40,90,1,0,32,6,in the end linkin park,2,165
neverita,bad bunny,1,2022,5,6,2590,30,671365962.0,20,64,35,6,0,122,A#,Major,88,43,50,7,0,14,5,neverita bad bunny,31,21
love again,the kid laroi,1,2023,1,27,1283,0,147538971.0,57,4,48,0,0,107,B,Minor,66,47,40,72,0,11,3,love again the kid laroi,40,12
after hours,the weeknd,1,2020,2,19,8084,6,698086140.0,45,115,218,1,221,109,F,Minor,66,16,57,10,1,12,3,after hours the weeknd,20,7
about damn time,lizzo,1,2022,7,15,2332,2,723894473.0,0,0,25,0,0,109,A#,Minor,84,72,74,10,0,34,7,about damn time lizzo,1,213
about damn time,lizzo,1,2022,4,14,9021,0,723894473.0,242,49,272,21,24,109,A#,Minor,84,72,74,10,0,34,7,about damn time lizzo,1,213
born with a beer in my hand,morgan wallen,1,2023,3,3,203,0,34450974.0,5,9,0,0,0,148,,Major,53,61,81,5,0,36,4,born with a beer in my hand morgan wallen,32,3
moscow mule,bad bunny,1,2022,5,6,4572,33,909001996.0,74,113,85,9,2,100,F,Minor,80,29,67,29,0,12,3,moscow mule bad bunny,4,58
trustfall,p!nk,1,2023,1,27,2098,16,134255790.0,88,24,101,7,451,122,G#,Major,64,25,89,0,0,15,9,trustfall p!nk,82,5
shirt,sza,1,2022,10,28,3469,0,309653982.0,71,95,31,0,2,120,D#,Minor,82,55,45,15,3,9,10,shirt sza,11,64
star walkin' (league of legends worlds anthem),lil nas x,1,2022,9,22,2616,0,332506354.0,113,17,208,0,192,142,D,Minor,64,31,72,15,0,9,5,star walkin' (league of legends worlds anthem) lil nas x,32,46
tv,billie eilish,1,2022,7,21,3009,2,338564981.0,68,89,65,0,25,141,E,Minor,41,9,25,84,1,14,4,tv billie eilish,52,1
i'm not the only one,sam smith,1,2014,1,1,17492,3,1606986953.0,136,24,"1,959",0,30,82,F,Major,68,50,49,56,0,8,4,i'm not the only one sam smith,5,146
heather,conan gray,1,2020,3,20,6170,7,1301799902.0,82,1,231,0,2,92,F,Major,47,25,43,62,0,32,3,heather conan gray,46,19
pink venom,blackpink,1,2022,8,19,1963,16,551305895.0,57,119,77,1,13,90,,Major,80,71,69,2,0,27,10,pink venom blackpink,22,6
don't start now,dua lipa,1,2019,10,31,27119,0,2303033973.0,532,77,"1,535",3,8,124,B,Minor,79,68,79,1,0,10,8,don't start now dua lipa,2,331
blind,sza,1,2022,12,9,1484,0,163284000.0,22,51,12,0,0,114,A,Minor,46,60,28,91,0,21,4,blind sza,12,21
die for you,joji,1,2022,11,4,1703,0,246390068.0,38,45,36,16,0,148,G#,Major,47,15,52,38,13,29,5,die for you joji,53,3
yonaguni,bad bunny,1,2021,6,4,9644,28,1260594497.0,120,86,164,4,0,180,C#,Major,64,44,65,28,0,14,12,yonaguni bad bunny,10,39
super freaky girl,nicki minaj,1,2022,8,12,4827,0,428685680.0,104,17,76,9,2,133,D,Major,95,91,89,6,0,31,24,super freaky girl nicki minaj,1,78
running up that hill (a deal with god),kate bush,1,1985,9,16,21811,0,1024858327.0,117,1,676,3,0,108,A#,Minor,63,20,55,72,0,6,6,running up that hill (a deal with god) kate bush,3,123
bad habits,ed sheeran,1,2020,9,3,12755,8,1555511105.0,344,97,945,15,,126,B,Minor,81,59,90,5,0,36,3,bad habits ed sheeran,2,342
good days,sza,1,2020,12,24,10426,2,826623384.0,133,109,182,1,10,121,C#,Minor,46,53,78,23,0,72,6,good days sza,9,44
woman,doja cat,1,2021,6,25,9424,0,1329090101.0,202,50,463,4,,108,F,Minor,82,88,76,9,0,12,9,woman doja cat,7,334
