track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,combined,date,peak_position,weeks_on_chart,current_position
daylight,david kushner,1,2023,4,14,3528,98,387570742.0,80,156,182,24,"1,281",130,D,Minor,51,32,43,83,0,9,3,daylight david kushner,2023-07-01,47,10,56
daylight,david kushner,1,2023,4,14,3528,98,387570742.0,80,156,182,24,"1,281",130,D,Minor,51,32,43,83,0,9,3,daylight david kushner,2023-08-01,47,15,59
daylight,david kushner,1,2023,4,14,3528,98,387570742.0,80,156,182,24,"1,281",130,D,Minor,51,32,43,83,0,9,3,daylight david kushner,2023-09-01,40,19,40
daylight,david kushner,1,2023,4,14,3528,98,387570742.0,80,156,182,24,"1,281",130,D,Minor,51,32,43,83,0,9,3,daylight david kushner,2023-10-01,37,24,37
daylight,david kushner,1,2023,4,14,3528,98,387570742.0,80,156,182,24,"1,281",130,D,Minor,51,32,43,83,0,9,3,daylight david kushner,2023-11-01,33,28,33
as it was,harry styles,1,2022,3,31,23575,130,2513188493.0,403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6,as it was harry styles,2022-05-01,1,4,1
as it was,harry styles,1,2022,3,31,23575,130,2513188493.0,403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6,as it was harry styles,2022-06-01,1,8,1
as it was,harry styles,1,2022,3,31,23575,130,2513188493.0,403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6,as it was harry styles,2022-07-01,1,12,2
as it was,harry styles,1,2022,3,31,23575,130,2513188493.0,403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6,as it was harry styles,2022-08-01,1,17,2
as it was,harry styles,1,2022,3,31,23575,130,2513188493.0,403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6,as it was harry styles,2022-09-01,1,21,1
